"","animal","Common_Name","Family_Common","selector_caption"
"35","Diomedea_epomophora","Royal Albatross","Diomedeidae (Albatrosses)","Diomedea epomophora (royal albatross)"
"36","Diomedea_exulans","Wandering Albatross","Diomedeidae (Albatrosses)","Diomedea exulans (wandering albatross)"
"37","Diomedea_sanfordi","Northern Royal Albatross","Diomedeidae (Albatrosses)","Diomedea sanfordi (northern royal albatross)"
"38","Eudyptes_chrysocome","Southern Rockhopper Penguin","Spheniscidae (Penguins)","Eudyptes chrysocome (southern rockhopper penguin)"
"39","Eudyptes_chrysolophus","Macaroni Penguin","Spheniscidae (Penguins)","Eudyptes chrysolophus (macaroni penguin)"
"40","Eudyptes_moseleyi","Northern Rockhopper Penguin","Spheniscidae (Penguins)","Eudyptes moseleyi (northern rockhopper penguin)"
"41","Eudyptes_pachyrhynchus","Fiordland Crested Penguin","Spheniscidae (Penguins)","Eudyptes pachyrhynchus (Fiordland crested penguin)"
"42","Eudyptes_robustus","Snares Islands Penguin","Spheniscidae (Penguins)","Eudyptes robustus (Snares Islands penguin)"
"43","Eudyptes_schlegeli","Royal Penguin","Spheniscidae (Penguins)","Eudyptes schlegeli (royal penguin)"
"44","Eudyptes_sclateri","Erect-crested Penguin","Spheniscidae (Penguins)","Eudyptes sclateri (erect-crested penguin)"
"45","Eudyptula_minor","Little Penguin","Spheniscidae (Penguins)","Eudyptula minor (little penguin)"
"46","Fratercula_arctica","Atlantic Puffin","Alcidae (Auks/ Alcids)","Fratercula arctica (atlantic puffin)"
"47","Fratercula_cirrhata","Tufted Puffin","Alcidae (Auks/ Alcids)","Fratercula cirrhata (tufted puffin)"
"48","Fratercula_corniculata","Horned Puffin","Alcidae (Auks/ Alcids)","Fratercula corniculata (horned puffin)"
"49","Fregata_andrewsi","Andrews' Frigatebird","Fregatidae (Frigatebirds)","Fregata andrewsi (Andrews' frigatebird)"
"50","Fregata_aquila","Ascension Frigatebird","Fregatidae (Frigatebirds)","Fregata aquila (Ascension frigatebird)"
"51","Fregata_ariel","Lesser Frigatebird","Fregatidae (Frigatebirds)","Fregata ariel (lesser frigatebird)"
"52","Fregata_magnificens","Magnificent Frigatebird","Fregatidae (Frigatebirds)","Fregata magnificens (magnificent frigatebird)"
"53","Fregata_minor","Great Frigatebird","Fregatidae (Frigatebirds)","Fregata minor (great frigatebird)"
"54","Fregetta_grallaria","White-bellied Storm-Petrel","Oceanitidae (Southern Storm Petrels)","Fregetta grallaria (white-bellied storm-petrel)"
"55","Fregetta_tropica","Black-bellied Storm-Petrel","Oceanitidae (Southern Storm Petrels)","Fregetta tropica (black-bellied storm-petrel)"
"56","Fulmarus_glacialis","Fulmar","Procellariidae (Petrels, Prions & Shearwaters)","Fulmarus glacialis (fulmar)"
"57","Fulmarus_glacialoides","Antarctic Fulmar","Procellariidae (Petrels, Prions & Shearwaters)","Fulmarus glacialoides (Antarctic fulmar)"
"58","Garrodia_nereis","Gray-backed Storm-Petrel","Oceanitidae (Southern Storm Petrels)","Garrodia nereis (gray-backed storm-petrel)"
"59","Gygis_alba","Fairy Tern","Laridae (Gulls, Terns & Skimmers)","Gygis alba (fairy tern)"
"60","Gygis_microrhyncha","Little White-Tern","Laridae (Gulls, Terns & Skimmers)","Gygis microrhyncha (little white-tern)"
"61","Halobaena_caerulea","Blue Petrel","Procellariidae (Petrels, Prions & Shearwaters)","Halobaena caerulea (blue petrel)"
"62","Halocyptena_microsoma","Least Storm Petrel","Hydrobatidae (Northern Storm Petrels)","Halocyptena microsoma (least storm petrel)"
"63","Hydrobates_pelagicus","European Storm Petrel","Hydrobatidae (Northern Storm Petrels)","Hydrobates pelagicus (European storm petrel)"
"64","Larosterna_inca","Inca Tern","Laridae (Gulls, Terns & Skimmers)","Larosterna inca (Inca tern)"
"65","Larus_argentatus","European Herring Gull","Laridae (Gulls, Terns & Skimmers)","Larus argentatus (European herring gull)"
"66","Larus_atlanticus","Olrog's Gull","Laridae (Gulls, Terns & Skimmers)","Larus atlanticus (Olrog's gull)"
"67","Larus_atricilla","Laughing Gull","Laridae (Gulls, Terns & Skimmers)","Larus atricilla (laughing gull)"
"68","Larus_audouinii","Audouin's Gull","Laridae (Gulls, Terns & Skimmers)","Larus audouinii (Audouin's gull)"
"69","Larus_belcheri","Belcher's Gull","Laridae (Gulls, Terns & Skimmers)","Larus belcheri (Belcher's gull)"
"70","Larus_brunnicephalus","Brown-headed Gull","Laridae (Gulls, Terns & Skimmers)","Larus brunnicephalus (brown-headed gull)"
"71","Larus_cachinnans","Caspian Gull","Laridae (Gulls, Terns & Skimmers)","Larus cachinnans (Caspian gull)"
"72","Larus_californicus","California Gull","Laridae (Gulls, Terns & Skimmers)","Larus californicus (California gull)"
"73","Larus_canus","Mew Gull","Laridae (Gulls, Terns & Skimmers)","Larus canus (mew gull)"
"74","Larus_cirrocephalus","Grey-headed Gull","Laridae (Gulls, Terns & Skimmers)","Larus cirrocephalus (grey-headed gull)"
