IslandID,Island,Archipelago,#sp,Extant,Extirpated,Country/ Territory ,Area (sq. km),Income Group (GDP per Cap.),Human Presence,Habitation,Invasive Vertebrate Presence,Latitudinal Zone,Biogeographic Realm,Biome,Marine Realm,Marine Province,Marine Ecoregion
834930,Bramble Cay,Papua New Guinea (Torres Strait),1,1,,PG,0.039,Lower middle income,No,None,Present,Tropical,Australasia,Tropical and Subtropical Moist Broadleaf Forests,Central Indo-Pacific,Sahul Shelf,Gulf of Papua
874870,Lolang,Caroline Islands (Ulithi Islands),1,1,,FM,0.051,Lower middle income,No,None,Present,Tropical,Oceania,Tropical and Subtropical Dry Broadleaf Forests,Central Indo-Pacific,Tropical Northwestern Pacific,West Caroline Islands
1136010,Elipig,Caroline Islands (Ulithi Islands),1,1,,FM,0.032,Lower middle income,No,None,Present,Tropical,Oceania,Tropical and Subtropical Dry Broadleaf Forests,Central Indo-Pacific,Tropical Northwestern Pacific,West Caroline Islands
1406850,Ulebsechel,Palau,1,1,,PW,4.214,Upper middle income,No,None,Present,Tropical,Oceania,Tropical and Subtropical Moist Broadleaf Forests,Central Indo-Pacific,Tropical Northwestern Pacific,West Caroline Islands
25430,Henderson  ,Pitcairn Islands,2,1,1,PN,42.989,High income,No,None,Present,Tropical,Oceania,Tropical and Subtropical Moist Broadleaf Forests,Eastern Indo-Pacific,Southeast Polynesia,Rapa-Pitcairn
45220,MohoTani,Marquesas,2,2,,PF,12.543,High income,No,None,Present,Tropical,Oceania,Tropical and Subtropical Moist Broadleaf Forests,Eastern Indo-Pacific,Marquesas,Marquesas
65120,Hatutaa,Marquesas,1,1,,PF,6.750,High income,No,None,Present,Tropical,Oceania,Tropical and Subtropical Moist Broadleaf Forests,Eastern Indo-Pacific,Marquesas,Marquesas
68820,Enderbury,Phoenix Islands,1,1,,KI,6.104,Lower middle income,No,None,Present,Tropical,Oceania,Tropical and Subtropical Moist Broadleaf Forests,Eastern Indo-Pacific,Central Polynesia,Phoenix/Tokelau/Northern Cook Islands
92090,Jarvis,Line Islands,1,1,,UM,4.590,High income,No,None,Present,Tropical,Oceania,Tropical and Subtropical Moist Broadleaf Forests,Eastern Indo-Pacific,Central Polynesia,Line Islands
121610,Tenarunga,Tuamotus,2,1,1,PF,4.113,High income,No,None,Present,Tropical,Oceania,Tropical and Subtropical Moist Broadleaf Forests,Eastern Indo-Pacific,Southeast Polynesia,Tuamotus
